timestamp,event_code,parameter
1785610801.6,82,46
1785610802.4,82,17
1785610802.4,82,36
1785610802.6,81,46
1785610802.8,81,36
1785610803.5,82,2
1785610803.9,81,2
1785610804.1,81,17
1785610804.3,82,35
1785610804.8,81,35
1785610806.4,82,34
1785610806.8,81,34
1785610809.9,82,26
1785610810.4,82,33
1785610810.6,81,33
1785610811.5,81,26
1785610817.0,82,30
1785610818.5,81,39
1785610818.6,82,3
1785610819.0,81,30
1785610819.4,81,4
1785610819.6,81,22
1785610820.4,82,43
1785610820.6,81,3
1785610821.2,82,8
1785610821.4,82,29
1785610821.6,81,7
1785610821.9,82,7
1785610822.0,82,40
1785610822.1,81,7
1785610822.6,81,40
1785610823.3,82,7
1785610824.8,81,8
1785610825.0,81,38
1785610825.0,82,40
1785610825.3,81,43
1785610825.6,81,29
1785610825.7,81,40
1785610826.3,81,7
1785610826.4,81,24
1785610829.4,82,28
1785610830.2,81,28
1785610830.5,82,48
1785610831.2,81,48
1785610832.5,82,47
1785610832.5,82,48
1785610833.1,82,39
1785610833.2,81,47
1785610833.2,81,48
1785610833.3,82,47
1785610834.1,81,47
1785610835.8,82,47
1785610835.9,82,48
1785610836.5,81,48
1785610836.7,81,47
1785610837.7,82,43
1785610837.8,82,30
1785610839.1,81,43
1785610839.3,82,46
1785610839.6,82,17
1785610839.6,82,47
1785610840.4,82,2
1785610840.8,81,47
1785610840.9,82,48
1785610841.5,82,47
1785610841.7,81,48
1785610843.1,81,47
1785610844.9,81,2
1785610844.9,81,46
1785610845.0,82,46
1785610845.8,82,2
1785610846.8,82,47
1785610847.0,81,46
1785610848.2,81,2
1785610848.2,81,17
1785610848.3,82,46
1785610848.6,82,17
1785610849.2,81,47
1785610849.2,82,2
1785610849.9,81,46
1785610850.1,82,46
1785610851.5,81,46
1785610851.6,82,22
1785610852.6,82,4
1785610852.9,81,2
1785610852.9,81,17
1785610855.2,82,41
1785610855.3,82,3
1785610856.3,82,46
1785610856.6,82,17
1785610857.4,82,2
1785610858.4,81,46
1785610859.4,81,30
1785610859.6,81,17
1785610859.8,81,2
1785610865.4,82,30
1785610868.3,81,39
1785610869.2,81,4
1785610869.5,81,22
1785610870.6,82,48
1785610870.9,81,48
1785610871.1,82,43
1785610872.1,82,8
1785610872.3,82,39
1785610872.7,82,47
1785610873.0,82,29
1785610873.3,81,43
1785610873.3,81,47
1785610873.6,82,48
1785610874.2,81,48
1785610874.4,82,43
1785610875.4,82,19
1785610875.8,81,19
1785610876.4,82,47
1785610877.1,81,47
1785610877.6,82,46
1785610877.8,82,48
1785610877.9,82,17
1785610878.0,81,43
1785610878.1,82,38
1785610878.2,82,24
1785610878.4,81,48
1785610878.5,82,47
1785610878.8,82,2
1785610879.1,81,8
1785610879.4,81,47
1785610879.5,82,43
1785610879.8,82,7
1785610879.8,82,48
1785610880.1,81,48
1785610880.6,81,29
1785610880.9,82,47
1785610881.3,81,38
1785610881.3,81,43
1785610881.3,82,40
1785610881.3,82,48
1785610881.9,81,47
1785610882.0,81,40
1785610882.0,81,48
1785610882.3,82,47
1785610882.6,81,7
1785610882.6,81,24
1785610883.5,81,47
1785610885.0,82,47
1785610886.7,82,36
1785610887.0,81,47
