timestamp,iso_local,detector,event_code,event
1784504247.689,2026-07-19 17:37:27.688,34,82,on
1784504247.689,2026-07-19 17:37:27.688,35,81,off
1784504249.169,2026-07-19 17:37:29.169,33,81,off
1784504249.169,2026-07-19 17:37:29.169,34,81,off
1784504250.795,2026-07-19 17:37:30.795,33,82,on
1784504250.795,2026-07-19 17:37:30.795,35,82,on
1784504250.947,2026-07-19 17:37:30.946,47,82,on
1784504251.917,2026-07-19 17:37:31.917,34,82,on
1784504251.917,2026-07-19 17:37:31.917,35,81,off
1784504252.124,2026-07-19 17:37:32.124,47,81,off
1784504253.366,2026-07-19 17:37:33.365,30,82,on
1784504253.766,2026-07-19 17:37:33.765,41,82,on
1784504254.390,2026-07-19 17:37:34.390,3,82,on
1784504255.206,2026-07-19 17:37:35.205,34,81,off
1784504255.206,2026-07-19 17:37:35.205,36,82,on
1784504256.396,2026-07-19 17:37:36.396,17,82,on
1784504256.673,2026-07-19 17:37:36.673,35,82,on
1784504256.673,2026-07-19 17:37:36.673,36,81,off
1784504256.842,2026-07-19 17:37:36.841,46,82,on
1784504257.387,2026-07-19 17:37:37.387,2,82,on
1784504257.982,2026-07-19 17:37:37.982,26,81,off
1784504258.174,2026-07-19 17:37:38.174,33,81,off
1784504258.174,2026-07-19 17:37:38.174,35,81,off
1784504259.599,2026-07-19 17:37:39.598,26,82,on
1784504259.822,2026-07-19 17:37:39.821,33,82,on
1784504259.822,2026-07-19 17:37:39.821,34,82,on
1784504259.822,2026-07-19 17:37:39.821,35,82,on
1784504261.206,2026-07-19 17:37:41.205,34,81,off
1784504261.206,2026-07-19 17:37:41.205,35,81,off
1784504262.385,2026-07-19 17:37:42.385,34,82,on
1784504262.385,2026-07-19 17:37:42.385,36,82,on
1784504263.604,2026-07-19 17:37:43.603,34,81,off
1784504263.604,2026-07-19 17:37:43.603,35,82,on
1784504263.604,2026-07-19 17:37:43.603,36,81,off
1784504263.759,2026-07-19 17:37:43.758,46,81,off
1784504264.837,2026-07-19 17:37:44.836,17,81,off
1784504265.234,2026-07-19 17:37:45.233,34,82,on
1784504265.234,2026-07-19 17:37:45.233,35,81,off
1784504265.439,2026-07-19 17:37:45.438,43,82,on
1784504265.965,2026-07-19 17:37:45.964,2,81,off
1784504266.777,2026-07-19 17:37:46.776,34,81,off
1784504266.777,2026-07-19 17:37:46.776,35,82,on
1784504266.777,2026-07-19 17:37:46.776,36,82,on
1784504266.984,2026-07-19 17:37:46.984,42,82,on
1784504266.984,2026-07-19 17:37:46.984,43,81,off
1784504267.495,2026-07-19 17:37:47.494,8,82,on
1784504268.101,2026-07-19 17:37:48.100,29,82,on
1784504268.315,2026-07-19 17:37:48.314,35,81,off
1784504268.315,2026-07-19 17:37:48.314,36,81,off
1784504268.518,2026-07-19 17:37:48.517,42,81,off
1784504271.079,2026-07-19 17:37:51.078,34,82,on
1784504271.079,2026-07-19 17:37:51.078,35,82,on
1784504271.233,2026-07-19 17:37:51.232,43,82,on
1784504272.378,2026-07-19 17:37:52.377,29,81,off
1784504272.617,2026-07-19 17:37:52.617,34,81,off
1784504272.617,2026-07-19 17:37:52.617,35,81,off
1784504273.431,2026-07-19 17:37:53.431,8,81,off
1784504274.400,2026-07-19 17:37:54.399,42,82,on
1784504274.400,2026-07-19 17:37:54.399,43,81,off
1784504275.794,2026-07-19 17:37:55.793,34,82,on
1784504275.794,2026-07-19 17:37:55.793,35,82,on
1784504275.984,2026-07-19 17:37:55.984,42,81,off
1784504277.328,2026-07-19 17:37:57.327,33,81,off
1784504277.328,2026-07-19 17:37:57.327,35,81,off
1784504278.750,2026-07-19 17:37:58.750,33,82,on
1784504278.750,2026-07-19 17:37:58.750,34,81,off
1784504280.390,2026-07-19 17:38:00.389,34,82,on
1784504280.390,2026-07-19 17:38:00.389,35,82,on
1784504280.390,2026-07-19 17:38:00.389,36,82,on
1784504281.833,2026-07-19 17:38:01.833,33,81,off
1784504281.833,2026-07-19 17:38:01.833,34,81,off
1784504281.833,2026-07-19 17:38:01.833,35,81,off
1784504281.833,2026-07-19 17:38:01.833,36,81,off
1784504283.111,2026-07-19 17:38:03.111,33,82,on
1784504283.111,2026-07-19 17:38:03.111,36,82,on
1784504283.236,2026-07-19 17:38:03.235,47,82,on
1784504284.388,2026-07-19 17:38:04.388,34,82,on
1784504284.388,2026-07-19 17:38:04.388,36,81,off
1784504284.598,2026-07-19 17:38:04.598,47,81,off
1784504285.936,2026-07-19 17:38:05.935,33,81,off
1784504285.936,2026-07-19 17:38:05.935,34,81,off
1784504287.260,2026-07-19 17:38:07.259,33,82,on
1784504287.260,2026-07-19 17:38:07.259,34,82,on
1784504288.391,2026-07-19 17:38:08.390,33,81,off
1784504288.391,2026-07-19 17:38:08.390,34,81,off
1784504288.391,2026-07-19 17:38:08.390,35,82,on
1784504289.641,2026-07-19 17:38:09.641,33,82,on
1784504289.641,2026-07-19 17:38:09.641,34,82,on
1784504289.641,2026-07-19 17:38:09.641,35,81,off
1784504291.152,2026-07-19 17:38:11.152,34,81,off
1784504291.152,2026-07-19 17:38:11.152,35,82,on
1784504294.222,2026-07-19 17:38:14.221,33,81,off
1784504294.222,2026-07-19 17:38:14.221,34,82,on
1784504294.222,2026-07-19 17:38:14.221,35,81,off
1784504294.222,2026-07-19 17:38:14.221,36,82,on
1784504294.935,2026-07-19 17:38:14.935,2,82,on
1784504295.357,2026-07-19 17:38:15.356,17,82,on
1784504295.758,2026-07-19 17:38:15.757,33,82,on
1784504295.758,2026-07-19 17:38:15.757,34,81,off
