timestamp,timestamp_utc,camera_id,deleted_file,kept_file,deleted_start_ts,deleted_end_ts,kept_start_ts,kept_end_ts,deleted_duration_sec,bytes_reclaimed,log_rows_updated,tolerance_sec
1785694155.541580,2026-08-02 18:09:15 UTC,fisheye,8c620b4e_fisheye_1785694020.ts,4e1b4e73_fisheye_1785693971.ts,1785694009.107,1785694038.207,1785693959.560,1785694075.059,29.100,2083792,1,0.5
1785694457.124603,2026-08-02 18:14:17 UTC,fisheye,21dd49e7_fisheye_1785694154.ts,45f8e41f_fisheye_1785694139.ts,1785694145.562,1785694171.511,1785694133.238,1785694247.487,25.950,1633908,1,0.5
1785694457.124603,2026-08-02 18:14:17 UTC,fisheye,b24096ba_fisheye_1785694200.ts,45f8e41f_fisheye_1785694139.ts,1785694195.187,1785694216.837,1785694133.238,1785694247.487,21.650,1377852,1,0.5
1785694457.124603,2026-08-02 18:14:17 UTC,fisheye,d5cca0e8_fisheye_1785694225.ts,45f8e41f_fisheye_1785694139.ts,1785694213.855,1785694235.305,1785694133.238,1785694247.487,21.450,1423724,1,0.5
1785694457.124603,2026-08-02 18:14:17 UTC,fisheye,2ea9b6d7_fisheye_1785694344.ts,46393bba_fisheye_1785694340.ts,1785694337.835,1785694361.135,1785694331.599,1785694361.049,23.300,1586344,1,0.5
1785694758.836471,2026-08-02 18:19:18 UTC,fisheye,5435d605_fisheye_1785694371.ts,f569af04_fisheye_1785694367.ts,1785694362.704,1785694387.504,1785694356.383,1785694427.932,24.800,1984716,1,0.5
1785694758.836471,2026-08-02 18:19:18 UTC,fisheye,b1149636_fisheye_1785694403.ts,f569af04_fisheye_1785694367.ts,1785694393.682,1785694413.732,1785694356.383,1785694427.932,20.050,1231776,1,0.5
1785694758.836471,2026-08-02 18:19:18 UTC,fisheye,fd9ff514_fisheye_1785694521.ts,907afce2_fisheye_1785694511.ts,1785694511.412,1785694529.361,1785694505.189,1785694584.039,17.950,1065396,1,0.5
1785694758.836471,2026-08-02 18:19:18 UTC,fisheye,b3ac699d_fisheye_1785694565.ts,907afce2_fisheye_1785694511.ts,1785694554.825,1785694582.175,1785694505.189,1785694584.039,27.350,1969112,1,0.5
1785695060.631384,2026-08-02 18:24:20 UTC,fisheye,696b76d6_fisheye_1785694721.ts,eb5aa9d8_fisheye_1785694715.ts,1785694709.920,1785694727.870,1785694703.531,1785694756.230,17.950,1275016,1,0.5
1785695060.631384,2026-08-02 18:24:20 UTC,fisheye,2959328c_fisheye_1785694727.ts,eb5aa9d8_fisheye_1785694715.ts,1785694716.065,1785694744.915,1785694703.531,1785694756.230,28.850,2064616,1,0.5
1785695060.631384,2026-08-02 18:24:20 UTC,fisheye,b9a81569_fisheye_1785694922.ts,0da55aed_fisheye_1785694924.ts,1785694914.470,1785694993.170,1785694914.469,1785694993.168,78.700,4837052,1,0.5
1785695362.491537,2026-08-02 18:29:22 UTC,fisheye,9a715fbd_fisheye_1785695163.ts,f2747773_fisheye_1785695165.ts,1785695156.286,1785695180.286,1785695156.215,1785695185.515,24.000,1434628,1,0.5
1785695664.367898,2026-08-02 18:34:24 UTC,fisheye,e6048bc7_fisheye_1785695373.ts,97cd48b2_fisheye_1785695369.ts,1785695367.043,1785695392.593,1785695360.807,1785695503.657,25.550,1955012,1,0.5
1785695664.367898,2026-08-02 18:34:24 UTC,fisheye,8c3874de_fisheye_1785695459.ts,97cd48b2_fisheye_1785695369.ts,1785695447.561,1785695467.161,1785695360.807,1785695503.657,19.600,1324836,1,0.5
1785695664.367898,2026-08-02 18:34:24 UTC,fisheye,c85bfbb7_fisheye_1785695475.ts,97cd48b2_fisheye_1785695369.ts,1785695466.281,1785695493.481,1785695360.807,1785695503.657,27.200,1695384,1,0.5
1785695966.414259,2026-08-02 18:39:26 UTC,fisheye,9a9c869b_fisheye_1785695603.ts,2000b0a4_fisheye_1785695607.ts,1785695596.467,1785695619.017,1785695596.398,1785695625.748,22.550,1505128,1,0.5
1785696570.529903,2026-08-02 18:49:30 UTC,fisheye,b6f9d511_fisheye_1785696185.ts,74a01064_fisheye_1785696130.ts,1785696173.070,1785696200.819,1785696123.464,1785696284.514,27.750,2212008,1,0.5
1785696570.529903,2026-08-02 18:49:30 UTC,fisheye,b5260fed_fisheye_1785696205.ts,74a01064_fisheye_1785696130.ts,1785696197.763,1785696211.513,1785696123.464,1785696284.514,13.750,885856,1,0.5
1785696570.529903,2026-08-02 18:49:30 UTC,fisheye,756dfe8a_fisheye_1785696243.ts,74a01064_fisheye_1785696130.ts,1785696235.057,1785696250.007,1785696123.464,1785696284.514,14.950,1090400,1,0.5
1785696570.529903,2026-08-02 18:49:30 UTC,fisheye,f553efa9_fisheye_1785696288.ts,7e0d41ad_fisheye_1785696262.ts,1785696278.406,1785696296.656,1785696253.678,1785696306.828,18.250,1391952,1,0.5
1785696570.529903,2026-08-02 18:49:30 UTC,fisheye,be17e928_fisheye_1785696361.ts,d245c5be_fisheye_1785696321.ts,1785696352.774,1785696375.824,1785696309.503,1785696388.003,23.050,1547052,1,0.5
1785696570.529903,2026-08-02 18:49:30 UTC,fisheye,a85136e1_fisheye_1785696410.ts,783a7b86_fisheye_1785696383.ts,1785696402.343,1785696429.543,1785696371.401,1785696450.851,27.200,1803860,1,0.5
1785696872.809324,2026-08-02 18:54:32 UTC,fisheye,73b44adc_fisheye_1785696643.ts,4f592a34_fisheye_1785696643.ts,1785696637.984,1785696659.884,1785696631.852,1785696661.801,21.900,1781488,1,0.5
1785697779.862526,2026-08-02 19:09:39 UTC,fisheye,5fef2027_fisheye_1785697369.ts,1befd7f6_fisheye_1785697371.ts,1785697363.372,1785697478.821,1785697363.372,1785697478.821,115.450,7429384,1,0.5
1785698082.260329,2026-08-02 19:14:42 UTC,fisheye,eda3e2c4_fisheye_1785697833.ts,8a02b9c9_fisheye_1785697813.ts,1785697822.193,1785697854.043,1785697803.623,1785697900.673,31.850,2399444,1,0.5
1785698082.260329,2026-08-02 19:14:42 UTC,fisheye,63bf1ef8_fisheye_1785697878.ts,8a02b9c9_fisheye_1785697813.ts,1785697871.743,1785697884.443,1785697803.623,1785697900.673,12.700,1012380,1,0.5
1785698384.841391,2026-08-02 19:19:44 UTC,fisheye,f812f556_fisheye_1785698097.ts,d2ddd0a5_fisheye_1785698087.ts,1785698088.742,1785698116.892,1785698076.438,1785698119.788,28.150,1656468,1,0.5
1785698384.841391,2026-08-02 19:19:44 UTC,fisheye,3b378908_fisheye_1785698281.ts,1c9d09b5_fisheye_1785698284.ts,1785698274.847,1785698296.197,1785698274.827,1785698302.677,21.350,1464520,1,0.5
1785698687.351538,2026-08-02 19:24:47 UTC,fisheye,b16df528_fisheye_1785698336.ts,4897966a_fisheye_1785698336.ts,1785698330.564,1785698442.214,1785698324.412,1785698442.212,111.650,8753844,1,0.5
1785698687.351538,2026-08-02 19:24:47 UTC,fisheye,357f9910_fisheye_1785698499.ts,d7c76c79_fisheye_1785698494.ts,1785698491.707,1785698505.107,1785698485.566,1785698510.916,13.400,1003732,1,0.5
1785698989.993836,2026-08-02 19:29:49 UTC,fisheye,c5a4c434_fisheye_1785698707.ts,4acbf79e_fisheye_1785698707.ts,1785698696.373,1785698723.523,1785698696.339,1785698727.189,27.150,1862704,1,0.5
1785698989.993836,2026-08-02 19:29:49 UTC,fisheye,7fb8e330_fisheye_1785698784.ts,82c9cc02_fisheye_1785698774.ts,1785698776.956,1785698801.556,1785698764.584,1785698815.334,24.600,1463956,1,0.5
1785699292.552233,2026-08-02 19:34:52 UTC,fisheye,e81ca996_fisheye_1785699074.ts,e7f6114e_fisheye_1785699040.ts,1785699068.355,1785699089.105,1785699031.177,1785699202.526,20.750,1305848,1,0.5
1785699292.552233,2026-08-02 19:34:52 UTC,fisheye,cb780ec8_fisheye_1785699101.ts,e7f6114e_fisheye_1785699040.ts,1785699093.197,1785699117.247,1785699031.177,1785699202.526,24.050,1630900,1,0.5
1785699292.552233,2026-08-02 19:34:52 UTC,fisheye,e320ad31_fisheye_1785699133.ts,e7f6114e_fisheye_1785699040.ts,1785699124.178,1785699202.528,1785699031.177,1785699202.526,78.350,4840248,1,0.5
1785699595.255793,2026-08-02 19:39:55 UTC,fisheye,7bfbfa38_fisheye_1785699277.ts,102a339d_fisheye_1785699267.ts,1785699266.746,1785699283.596,1785699260.623,1785699405.322,16.850,1306412,1,0.5
