timestamp,event_code,parameter
1785543060.3,81,35
1785543060.7,82,36
1785543061.0,82,38
1785543061.3,81,36
1785543061.5,82,24
1785543062.2,82,34
1785543062.8,82,7
1785543062.9,81,34
1785543063.3,82,35
1785543063.9,81,35
1785543065.9,82,34
1785543066.2,82,26
1785543066.3,82,33
1785543066.6,81,34
1785543066.7,81,46
1785543067.0,81,33
1785543067.8,81,2
1785543067.8,81,17
1785543068.2,81,26
1785543069.4,82,48
1785543069.9,82,26
1785543069.9,82,33
1785543070.1,81,48
1785543070.8,81,33
1785543072.0,81,26
1785543072.6,82,47
1785543073.4,81,47
1785543074.2,82,48
1785543074.9,81,48
1785543075.2,82,48
1785543075.6,82,19
1785543075.8,81,48
1785543076.0,81,19
1785543076.2,82,48
1785543077.0,81,48
1785543077.7,82,46
1785543077.7,82,47
1785543078.3,82,17
1785543078.7,81,47
1785543078.8,82,2
1785543078.8,82,47
1785543079.2,81,46
1785543079.7,81,47
1785543080.1,82,47
1785543080.5,81,17
1785543080.6,81,2
1785543081.1,81,47
1785543083.5,82,46
1785543084.1,82,17
1785543084.7,82,2
1785543085.0,81,2
1785543085.2,82,2
1785543085.3,82,45
1785543085.4,81,45
1785543086.0,81,46
1785543086.5,82,8
1785543086.7,81,8
1785543090.6,81,2
1785543090.6,81,17
1785543096.8,82,43
1785543096.9,81,38
1785543096.9,82,40
1785543097.5,81,40
1785543097.6,81,24
1785543098.2,81,7
1785543098.8,81,43
1785543110.3,82,36
1785543110.8,81,36
1785543112.3,82,35
1785543112.8,81,35
1785543114.4,82,34
1785543114.7,82,48
1785543114.9,81,34
1785543115.1,81,48
1785543115.3,82,48
1785543115.7,81,48
1785543116.8,82,47
1785543117.6,81,47
1785543117.9,82,38
1785543118.0,82,33
1785543118.1,82,26
1785543118.3,82,24
1785543118.6,82,48
1785543118.7,81,33
1785543119.0,82,19
1785543119.1,81,48
1785543119.2,82,48
1785543119.4,81,19
1785543119.6,81,48
1785543119.7,81,26
1785543120.0,82,46
1785543120.1,82,7
1785543120.4,82,17
1785543120.9,81,46
1785543121.0,82,47
1785543121.1,82,2
1785543121.8,81,2
1785543121.9,81,47
1785543122.0,81,17
1785543122.2,82,2
1785543122.4,81,2
1785543122.8,82,4
1785543124.0,82,48
1785543124.5,81,48
1785543124.8,81,4
1785543124.9,82,46
1785543125.8,82,17
1785543126.3,82,2
1785543126.3,82,47
1785543126.6,81,2
1785543126.7,82,2
1785543126.8,81,47
1785543126.9,81,46
1785543129.2,81,2
1785543129.4,82,48
1785543129.9,81,48
1785543130.4,81,17
1785543130.4,82,46
1785543130.9,82,17
1785543131.5,82,47
1785543131.6,82,2
1785543131.8,81,46
1785543132.0,81,47
1785543132.8,82,4
1785543132.8,82,47
1785543133.1,81,17
1785543133.3,81,47
1785543133.4,81,2
1785543133.5,82,19
1785543133.9,81,19
1785543134.5,81,4
1785543134.6,82,46
1785543134.7,82,19
1785543134.9,81,19
1785543135.3,82,17
1785543135.4,82,47
1785543135.5,81,46
1785543135.7,82,2
1785543135.8,82,46
1785543135.8,82,48
1785543136.0,81,47
1785543136.4,81,48
1785543136.5,82,4
1785543136.6,81,46
1785543136.7,81,2
1785543137.0,82,2
1785543137.4,81,4
1785543137.7,81,2
1785543137.7,81,17
1785543137.7,82,19
1785543138.1,82,47
1785543138.4,81,19
1785543138.5,82,48
1785543138.7,81,47
1785543139.0,81,48
1785543139.8,82,46
1785543140.1,82,17
1785543140.8,82,47
1785543140.9,82,2
1785543141.4,81,47
1785543141.5,81,46
1785543142.4,82,46
1785543143.3,81,2
1785543143.6,82,2
1785543143.8,81,46
1785543144.1,82,48
1785543144.8,82,46
1785543145.0,81,48
1785543145.2,81,2
1785543145.9,81,46
1785543146.0,82,2
1785543146.7,82,47
1785543147.1,81,17
1785543147.2,81,2
1785543147.7,81,47
1785543148.2,82,48
1785543148.8,81,48
1785543150.1,82,48
1785543150.7,81,48
1785543150.8,82,47
1785543151.4,81,47
1785543151.9,82,17
1785543151.9,82,46
1785543151.9,82,48
1785543152.2,81,48
1785543152.8,82,47
1785543153.0,82,2
