timestamp,iso_local,detector,event_code,event
1785543068.983,2026-07-31 18:11:08.982,1,0,init_off
1785543068.983,2026-07-31 18:11:08.982,2,0,init_off
1785543068.983,2026-07-31 18:11:08.982,3,0,init_off
1785543068.983,2026-07-31 18:11:08.982,4,0,init_off
1785543068.983,2026-07-31 18:11:08.982,5,0,init_off
1785543068.983,2026-07-31 18:11:08.982,6,0,init_off
1785543068.983,2026-07-31 18:11:08.982,7,0,init_on
1785543068.983,2026-07-31 18:11:08.982,8,0,init_off
1785543069.098,2026-07-31 18:11:09.097,9,0,init_off
1785543069.098,2026-07-31 18:11:09.097,10,0,init_off
1785543069.098,2026-07-31 18:11:09.097,11,0,init_off
1785543069.098,2026-07-31 18:11:09.097,12,0,init_off
1785543069.098,2026-07-31 18:11:09.097,13,0,init_off
1785543069.098,2026-07-31 18:11:09.097,14,0,init_off
1785543069.098,2026-07-31 18:11:09.097,15,0,init_off
1785543069.098,2026-07-31 18:11:09.097,16,0,init_off
1785543069.225,2026-07-31 18:11:09.225,17,0,init_off
1785543069.225,2026-07-31 18:11:09.225,18,0,init_off
1785543069.225,2026-07-31 18:11:09.225,19,0,init_off
1785543069.225,2026-07-31 18:11:09.225,20,0,init_off
1785543069.225,2026-07-31 18:11:09.225,21,0,init_off
1785543069.225,2026-07-31 18:11:09.225,22,0,init_off
1785543069.225,2026-07-31 18:11:09.225,23,0,init_off
1785543069.225,2026-07-31 18:11:09.225,24,0,init_on
1785543069.332,2026-07-31 18:11:09.331,25,0,init_off
1785543069.332,2026-07-31 18:11:09.331,26,0,init_off
1785543069.332,2026-07-31 18:11:09.331,27,0,init_off
1785543069.332,2026-07-31 18:11:09.331,28,0,init_off
1785543069.332,2026-07-31 18:11:09.331,29,0,init_off
1785543069.332,2026-07-31 18:11:09.331,30,0,init_off
1785543069.332,2026-07-31 18:11:09.331,31,0,init_off
1785543069.332,2026-07-31 18:11:09.331,32,0,init_off
1785543069.432,2026-07-31 18:11:09.431,33,0,init_off
1785543069.432,2026-07-31 18:11:09.431,34,0,init_off
1785543069.432,2026-07-31 18:11:09.431,35,0,init_off
1785543069.432,2026-07-31 18:11:09.431,36,0,init_off
1785543069.432,2026-07-31 18:11:09.431,37,0,init_off
1785543069.432,2026-07-31 18:11:09.431,38,0,init_on
1785543069.432,2026-07-31 18:11:09.431,39,0,init_off
1785543069.432,2026-07-31 18:11:09.431,40,0,init_off
1785543069.543,2026-07-31 18:11:09.542,41,0,init_off
1785543069.543,2026-07-31 18:11:09.542,42,0,init_off
1785543069.543,2026-07-31 18:11:09.542,43,0,init_off
1785543069.543,2026-07-31 18:11:09.542,44,0,init_off
1785543069.543,2026-07-31 18:11:09.542,45,0,init_off
1785543069.543,2026-07-31 18:11:09.542,46,0,init_off
1785543069.543,2026-07-31 18:11:09.542,47,0,init_off
1785543069.543,2026-07-31 18:11:09.542,48,0,init_on
1785543069.654,2026-07-31 18:11:09.654,49,0,init_off
1785543069.654,2026-07-31 18:11:09.654,50,0,init_off
1785543069.654,2026-07-31 18:11:09.654,51,0,init_off
1785543069.654,2026-07-31 18:11:09.654,52,0,init_off
1785543069.654,2026-07-31 18:11:09.654,53,0,init_off
1785543069.654,2026-07-31 18:11:09.654,54,0,init_off
1785543069.654,2026-07-31 18:11:09.654,55,0,init_off
1785543069.654,2026-07-31 18:11:09.654,56,0,init_off
1785543069.766,2026-07-31 18:11:09.765,57,0,init_off
1785543069.766,2026-07-31 18:11:09.765,58,0,init_off
1785543069.766,2026-07-31 18:11:09.765,59,0,init_off
1785543069.766,2026-07-31 18:11:09.765,60,0,init_off
1785543069.766,2026-07-31 18:11:09.765,61,0,init_off
1785543069.766,2026-07-31 18:11:09.765,62,0,init_off
1785543069.766,2026-07-31 18:11:09.765,63,0,init_off
1785543069.766,2026-07-31 18:11:09.765,64,0,init_off
1785543070.193,2026-07-31 18:11:10.192,26,82,on
1785543070.301,2026-07-31 18:11:10.300,33,82,on
1785543070.417,2026-07-31 18:11:10.417,48,81,off
1785543071.228,2026-07-31 18:11:11.228,33,81,off
1785543072.074,2026-07-31 18:11:12.073,26,81,off
1785543074.085,2026-07-31 18:11:14.085,48,82,on
1785543075.567,2026-07-31 18:11:15.566,19,82,on
1785543075.870,2026-07-31 18:11:15.869,48,81,off
1785543076.444,2026-07-31 18:11:16.443,19,81,off
1785543077.686,2026-07-31 18:11:17.685,46,82,on
1785543077.686,2026-07-31 18:11:17.685,47,82,on
1785543078.244,2026-07-31 18:11:18.244,17,82,on
1785543078.881,2026-07-31 18:11:18.881,2,82,on
1785543079.473,2026-07-31 18:11:19.473,46,81,off
1785543079.473,2026-07-31 18:11:19.473,47,81,off
1785543080.380,2026-07-31 18:11:20.380,47,82,on
1785543080.731,2026-07-31 18:11:20.730,2,81,off
1785543080.939,2026-07-31 18:11:20.938,17,81,off
1785543081.290,2026-07-31 18:11:21.290,47,81,off
1785543083.830,2026-07-31 18:11:23.829,17,82,on
1785543084.168,2026-07-31 18:11:24.167,46,82,on
1785543084.518,2026-07-31 18:11:24.518,2,82,on
1785543085.061,2026-07-31 18:11:25.060,45,82,on
