Local_Timestamp,Trigger_ID,Video_Filename,Rule_Type,Det_A,Det_B,Description
2026-07-31 19:27:40 MDT,db8e005a0477494e84e1528c3eb5b5f7,db8e005a_fisheye_1785547662.ts,rule1_continuous_disagreement,42,31,"detector '42' ON, detector '31' OFF for 5.04s (threshold=5.0s)"
2026-07-31 19:27:40 MDT,e4244e652cdb414589921807bb45b18f,e4244e65_fisheye_1785547662.ts,rule1_continuous_disagreement,8,42,"detector '42' ON, detector '8' OFF for 5.04s (threshold=5.0s)"
2026-07-31 19:33:46 MDT,e64b3fcc22774c488bb3c8ef792232e1,e64b3fcc_fisheye_1785548026.ts,rule1_continuous_disagreement,43,29,"detector '43' ON, detector '29' OFF for 5.049s (threshold=5.0s)"
2026-07-31 19:34:29 MDT,12cb206464574b35b4563a3cac42ff85,12cb2064_fisheye_1785548069.ts,rule2_orphan_pulse,43,29,"orphan on detector '43': orphan pulse duration=4.637s window=[1785548054.594, 1785548069.232]"
2026-07-31 19:34:50 MDT,7ee8ae4dd5e745df93b74d5572014407,7ee8ae4d_fisheye_1785548091.ts,rule2_orphan_pulse,42,31,"orphan on detector '42': orphan pulse duration=1.0s window=[1785548079.289, 1785548090.288]"
2026-07-31 19:34:50 MDT,ceab83f8776a471f8934b7028032e59e,ceab83f8_fisheye_1785548091.ts,rule2_orphan_pulse,8,42,"orphan on detector '42': orphan pulse duration=1.0s window=[1785548079.289, 1785548090.288]"
2026-07-31 19:35:19 MDT,3bd7bfda29974c98944000ca9fc1327c,3bd7bfda_fisheye_1785548120.ts,rule2_orphan_pulse,33,26,"orphan on detector '26': orphan pulse duration=1.275s window=[1785548108.160, 1785548119.436]"
2026-07-31 19:35:33 MDT,b545b661b5484dd8bb0978b40cf21771,b545b661_fisheye_1785548134.ts,rule1_continuous_disagreement,31,8,"detector '8' ON, detector '31' OFF for 5.05s (threshold=5.0s)"
2026-07-31 19:35:44 MDT,4d653249c8954e0eb8317d59ae272582,4d653249_fisheye_1785548144.ts,rule2_orphan_pulse,41,30,"orphan on detector '30': orphan pulse duration=2.241s window=[1785548131.760, 1785548144.000]"
2026-07-31 19:35:45 MDT,6c1029f20217439ca79c77d448284126,6c1029f2_fisheye_1785548146.ts,rule2_orphan_pulse,3,41,"orphan on detector '3': orphan pulse duration=1.613s window=[1785548133.678, 1785548145.291]"
2026-07-31 19:36:59 MDT,0becd207fad843958ca480643099b1ad,0becd207_fisheye_1785548221.ts,rule2_orphan_pulse,43,29,"orphan on detector '29': orphan pulse duration=0.666s window=[1785548208.978, 1785548219.644]"
2026-07-31 19:40:09 MDT,b60ac8aee17943b784c69ab2cc91ae0e,b60ac8ae_fisheye_1785548410.ts,rule2_orphan_pulse,33,26,"orphan on detector '33': orphan pulse duration=2.556s window=[1785548397.240, 1785548409.796]"
2026-07-31 19:45:20 MDT,5b16a7ad3821406dbdad67e1f6f4f3cd,5b16a7ad_fisheye_1785548722.ts,rule2_orphan_pulse,8,42,"orphan on detector '8': orphan pulse duration=3.717s window=[1785548706.846, 1785548720.563]"
2026-07-31 19:45:21 MDT,f6a29e35a2fe4b42b4f4b3e55bc449ee,f6a29e35_fisheye_1785548722.ts,rule2_orphan_pulse,42,31,"orphan on detector '31': orphan pulse duration=0.97s window=[1785548710.563, 1785548721.533]"
2026-07-31 19:47:00 MDT,e2f2681f4fa745c59bb66d81674cd71a,e2f2681f_fisheye_1785548821.ts,rule2_orphan_pulse,41,30,"orphan on detector '41': orphan pulse duration=3.196s window=[1785548807.015, 1785548820.210]"
2026-07-31 19:47:00 MDT,f58a66ba03354434bcc9004bd94baa59,f58a66ba_fisheye_1785548821.ts,rule2_orphan_pulse,3,41,"orphan on detector '41': orphan pulse duration=3.196s window=[1785548807.015, 1785548820.210]"
2026-07-31 19:47:23 MDT,6cc39e81cb7c432c87d00d44839171f1,6cc39e81_fisheye_1785548843.ts,rule2_orphan_pulse,42,31,"orphan on detector '42': orphan pulse duration=0.969s window=[1785548832.385, 1785548843.354]"
2026-07-31 19:47:23 MDT,ca01cd16bd954910b4a6276f0d548727,ca01cd16_fisheye_1785548843.ts,rule2_orphan_pulse,8,42,"orphan on detector '42': orphan pulse duration=0.969s window=[1785548832.385, 1785548843.354]"
2026-07-31 19:48:20 MDT,6b51d4ece429451ead9cf779d98467af,6b51d4ec_fisheye_1785548902.ts,rule2_orphan_pulse,38,24,"orphan on detector '24': orphan pulse duration=1.325s window=[1785548889.339, 1785548900.664]"
2026-07-31 19:48:21 MDT,54642ef876544391b69fb268d666135a,54642ef8_fisheye_1785548902.ts,rule2_orphan_pulse,7,38,"orphan on detector '7': orphan pulse duration=1.332s window=[1785548889.656, 1785548900.988]"
2026-07-31 19:50:33 MDT,4d9b3f0b1a93484691185166c2cd5432,4d9b3f0b_fisheye_1785549034.ts,rule1_continuous_disagreement,31,8,"detector '8' ON, detector '31' OFF for 5.043s (threshold=5.0s)"
2026-07-31 19:50:33 MDT,14565b7299a14442b32df34004b94707,14565b72_fisheye_1785549034.ts,rule1_continuous_disagreement,8,42,"detector '8' ON, detector '42' OFF for 5.047s (threshold=5.0s)"
2026-07-31 19:50:46 MDT,c3dac2d0ba284b3f9497ecdc360117ad,c3dac2d0_fisheye_1785549048.ts,rule2_orphan_pulse,41,30,"orphan on detector '30': orphan pulse duration=2.912s window=[1785549033.992, 1785549046.904]"
2026-07-31 19:50:47 MDT,00c4232698174fba80e4a56ceec4f3c9,00c42326_fisheye_1785549048.ts,rule2_orphan_pulse,3,41,"orphan on detector '3': orphan pulse duration=2.933s window=[1785549034.951, 1785549047.884]"
2026-07-31 19:51:25 MDT,8c5d5a0921e947a4ac9da62a9c266783,8c5d5a09_fisheye_1785549087.ts,rule2_orphan_pulse,42,31,"orphan on detector '42': orphan pulse duration=0.656s window=[1785549074.795, 1785549085.451]"
2026-07-31 19:51:25 MDT,665a083fe0514521a19cf4b740f10557,665a083f_fisheye_1785549087.ts,rule2_orphan_pulse,8,42,"orphan on detector '42': orphan pulse duration=0.656s window=[1785549074.795, 1785549085.451]"
2026-07-31 19:53:43 MDT,e2caaad90f2e4e9c9dd31fa42f4ab084,e2caaad9_fisheye_1785549224.ts,rule1_continuous_disagreement,41,30,"detector '41' ON, detector '30' OFF for 5.064s (threshold=5.0s)"
2026-07-31 19:53:43 MDT,ad4479b516234038a97a2f116e5f44ef,ad4479b5_fisheye_1785549224.ts,rule1_continuous_disagreement,3,41,"detector '41' ON, detector '3' OFF for 5.067s (threshold=5.0s)"
2026-07-31 19:55:51 MDT,4852866915ce4c48a2ab559bde23dd03,48528669_fisheye_1785549352.ts,rule1_continuous_disagreement,38,24,"detector '24' ON, detector '38' OFF for 5.043s (threshold=5.0s)"
2026-07-31 19:55:51 MDT,c23aba45252e4f7390cfc81c925ee500,c23aba45_fisheye_1785549352.ts,rule1_continuous_disagreement,7,38,"detector '7' ON, detector '38' OFF for 5.047s (threshold=5.0s)"
2026-07-31 19:56:15 MDT,0dc73fd6f81e427bbe27807481b49676,0dc73fd6_fisheye_1785549377.ts,rule1_continuous_disagreement,42,31,"detector '42' ON, detector '31' OFF for 5.042s (threshold=5.0s)"
2026-07-31 19:56:15 MDT,c67449e851c74acd99b1f923cc785988,c67449e8_fisheye_1785549377.ts,rule1_continuous_disagreement,8,42,"detector '42' ON, detector '8' OFF for 5.048s (threshold=5.0s)"
2026-07-31 19:56:34 MDT,3454620a92f54577a98a917b9988bbfe,3454620a_fisheye_1785549395.ts,rule1_continuous_disagreement,46,17,"detector '17' ON, detector '46' OFF for 5.057s (threshold=5.0s)"
2026-07-31 19:58:35 MDT,4b1d337396eb4f7686fd73dd5abc41cf,4b1d3373_fisheye_1785549516.ts,rule1_continuous_disagreement,42,31,"detector '42' ON, detector '31' OFF for 5.052s (threshold=5.0s)"
2026-07-31 19:58:35 MDT,dc7abfbec90b47e886256288e3f45af2,dc7abfbe_fisheye_1785549516.ts,rule1_continuous_disagreement,8,42,"detector '42' ON, detector '8' OFF for 5.059s (threshold=5.0s)"
2026-07-31 20:01:35 MDT,9b83591d17ba453ba6c24474ed265501,9b83591d_fisheye_1785549697.ts,rule2_orphan_pulse,43,29,"orphan on detector '43': orphan pulse duration=2.348s window=[1785549682.909, 1785549695.257]"
2026-07-31 20:09:03 MDT,c807c10eb9a54369ab008569c9e6bab3,c807c10e_fisheye_1785550144.ts,rule2_orphan_pulse,33,26,"orphan on detector '26': orphan pulse duration=1.325s window=[1785550132.613, 1785550143.938]"
2026-07-31 20:09:29 MDT,84cc9afeb08c4fba9ea38b216672def3,84cc9afe_fisheye_1785550171.ts,rule2_orphan_pulse,33,26,"orphan on detector '26': orphan pulse duration=1.665s window=[1785550157.679, 1785550169.344]"
