event_timestamp,local_timestamp,intersection_id,reason,rule,pair_key,det_a,det_b,det_a_type,det_b_type,orphan_det,slot,event_start_ts,event_end_ts,pulse_duration_sec,min_pulse_sec,sampling_floor_sec,min_pulse_floor_multiple,description
1785612453.630,2026-08-01 13:27:33.629506,201,below_sampling_floor,rule2_orphan_pulse,24:38,38,24,radar,video,38,a,1785612452.293,1785612453.572,1.279,3.2,1.6,2.0,orphan candidate on detector '38' not registered: pulse 1.279s < gate 3.200s
1785612453.634,2026-08-01 13:27:33.634469,201,below_sampling_floor,rule2_orphan_pulse,38:7,7,38,video,radar,38,b,1785612452.293,1785612453.572,1.279,3.2,1.6,2.0,orphan candidate on detector '38' not registered: pulse 1.279s < gate 3.200s
1785612455.253,2026-08-01 13:27:35.252922,201,below_sampling_floor,rule2_orphan_pulse,24:38,38,24,radar,video,24,b,1785612452.931,1785612455.196,2.265,3.2,1.6,2.0,orphan candidate on detector '24' not registered: pulse 2.265s < gate 3.200s
1785612455.257,2026-08-01 13:27:35.256577,201,below_sampling_floor,rule2_orphan_pulse,24:7,24,7,video,video,24,a,1785612452.931,1785612455.196,2.265,3.2,1.6,2.0,orphan candidate on detector '24' not registered: pulse 2.265s < gate 3.200s
1785612455.564,2026-08-01 13:27:35.564374,201,below_sampling_floor,rule2_orphan_pulse,24:7,24,7,video,video,7,b,1785612453.894,1785612455.518,1.624,3.2,1.6,2.0,orphan candidate on detector '7' not registered: pulse 1.624s < gate 3.200s
1785612455.564,2026-08-01 13:27:35.564374,201,below_sampling_floor,rule2_orphan_pulse,38:7,7,38,video,radar,7,a,1785612453.894,1785612455.518,1.624,3.2,1.6,2.0,orphan candidate on detector '7' not registered: pulse 1.624s < gate 3.200s
1785612457.178,2026-08-01 13:27:37.178248,201,below_sampling_floor,rule2_orphan_pulse,30:41,41,30,radar,video,30,b,1785612456.160,1785612457.124,0.964,3.2,1.6,2.0,orphan candidate on detector '30' not registered: pulse 0.964s < gate 3.200s
1785612457.180,2026-08-01 13:27:37.180049,201,below_sampling_floor,rule2_orphan_pulse,3:30,30,3,video,video,30,a,1785612456.160,1785612457.124,0.964,3.2,1.6,2.0,orphan candidate on detector '30' not registered: pulse 0.964s < gate 3.200s
1785612460.313,2026-08-01 13:27:40.313174,201,below_sampling_floor,rule2_orphan_pulse,3:30,30,3,video,video,3,b,1785612459.655,1785612460.296,0.641,3.2,1.6,2.0,orphan candidate on detector '3' not registered: pulse 0.641s < gate 3.200s
1785612460.314,2026-08-01 13:27:40.314186,201,below_sampling_floor,rule2_orphan_pulse,3:41,3,41,video,radar,3,a,1785612459.655,1785612460.296,0.641,3.2,1.6,2.0,orphan candidate on detector '3' not registered: pulse 0.641s < gate 3.200s
1785612462.936,2026-08-01 13:27:42.935822,201,below_sampling_floor,rule2_orphan_pulse,26:33,33,26,radar,video,33,a,1785612461.586,1785612462.913,1.326,3.2,1.6,2.0,orphan candidate on detector '33' not registered: pulse 1.326s < gate 3.200s
1785612464.247,2026-08-01 13:27:44.247431,201,below_sampling_floor,rule2_orphan_pulse,26:33,33,26,radar,video,26,b,1785612461.924,1785612464.220,2.296,3.2,1.6,2.0,orphan candidate on detector '26' not registered: pulse 2.296s < gate 3.200s
1785612469.986,2026-08-01 13:27:49.986282,201,below_sampling_floor,rule2_orphan_pulse,26:33,33,26,radar,video,33,a,1785612468.225,1785612469.889,1.663,3.2,1.6,2.0,orphan candidate on detector '33' not registered: pulse 1.663s < gate 3.200s
1785612470.899,2026-08-01 13:27:50.898817,201,below_sampling_floor,rule2_orphan_pulse,17:46,46,17,radar,video,46,a,1785612468.898,1785612470.857,1.96,3.2,1.6,2.0,orphan candidate on detector '46' not registered: pulse 1.960s < gate 3.200s
1785612470.909,2026-08-01 13:27:50.908622,201,below_sampling_floor,rule2_orphan_pulse,2:46,2,46,video,radar,46,b,1785612468.898,1785612470.857,1.96,3.2,1.6,2.0,orphan candidate on detector '46' not registered: pulse 1.960s < gate 3.200s
